DateTime;temp;CO2;CO2dep;O2;O2dep
2013-07-01 00:00;22.78;249.5;-4.99036775;8.47;5.721556413
2013-07-01 02:00;22.63;271.7;-4.219171383;8.45;4.355534411
2013-07-01 04:00;22.42;286.3;-3.719845465;8.45;3.311721474
2013-07-01 06:00;22.23;289.2;-3.634753904;8.49;3.610840134
2013-07-01 08:00;22.14;275.6;-4.13538548;8.54;4.720755457
2013-07-01 10:00;22.38;264.2;-4.517561622;8.59;7.487049723
2013-07-01 12:00;22.61;227.1;-5.813019808;8.59;8.631445423
2013-07-01 14:00;22.57;465.8;2.707862534;8.62;9.370564768
2013-07-01 16:00;22.52;455;2.325234764;8.64;9.747208182
2013-07-01 18:00;22.44;448.3;2.090143451;8.66;9.973954974
2013-07-01 20:00;22.29;454.4;2.318375158;8.66;9.224287458
2013-07-01 22:00;22.06;441.3;1.858505647;8.64;7.442280833
2013-07-02 00:00;21.88;456.2;2.410230811;8.62;5.905386826
2013-07-02 02:00;21.78;475.2;3.110556621;8.6;4.771324633
2013-07-02 04:00;21.53;477.2;3.205628852;8.6;3.490926205
2013-07-02 06:00;21.44;468.9;2.907731944;8.64;4.277253605
2013-07-02 08:00;21.43;459.5;2.562018596;8.64;4.22564468
2013-07-02 10:00;21.39;461.7;2.646044507;8.59;2.456529039
2013-07-02 12:00;21.42;456.2;2.441043841;8.6;2.924017771
2013-07-02 14:00;21.48;448.4;2.149858411;8.68;5.733509649
2013-07-02 16:00;21.7;394;0.146358311;8.73;8.425304479
2013-07-02 18:00;21.92;358.5;-1.145598079;8.74;9.858519595
2013-07-02 20:00;21.61;345.8;-1.621283764;8.73;7.964362986
2013-07-02 22:00;21.5;344.9;-1.659332523;8.6;3.336530014
2013-07-03 00:00;21.44;393.1;0.114245488;8.62;3.652253605
2013-07-03 02:00;21.36;420;1.108050915;8.55;1.051378098
2013-07-03 04:00;21.25;442;1.926478505;8.63;2.98109931
2013-07-03 06:00;21.1;433.9;1.633165356;8.58;0.637402896
2013-07-03 08:00;21.22;447.6;2.135719059;8.65;3.450187939
2013-07-03 10:00;22.01;426.1;1.309639683;8.73;10.00204438
2013-07-03 12:00;22.51;404.5;0.518848644;8.76;13.44748601
2013-07-03 14:00;22.57;356.6;-1.193174256;8.76;13.74556477
2013-07-03 16:00;23.34;401.6;0.405752983;8.7;15.64251852
2013-07-03 18:00;23.43;368;-0.76764355;8.69;15.76453542
2013-07-03 20:00;23.79;447.4;1.983298359;8.7;17.80207656
2013-07-03 22:00;23.9;554.1;5.653076999;8.67;17.38755654
2013-07-04 00:00;23.51;515;4.35210342;8.65;14.89967363
2013-07-04 02:00;23.1;512.5;4.313082945;8.49;7.914859565
2013-07-04 04:00;23.01;596.4;7.285017519;8.49;7.475489072
2013-07-04 06:00;22.92;581.1;6.761630443;8.53;8.284779938
2013-07-04 08:00;22.97;595.6;7.264729034;8.55;9.154783994
2013-07-04 10:00;23.21;542.5;5.353227052;8.65;13.45005941
2013-07-04 12:00;23.24;461.5;2.507817193;8.67;14.22067915
2013-07-04 14:00;23.42;390.7;0.024431688;8.69;15.71632052
2013-07-04 16:00;23.6;389.3;-0.024312054;8.71;17.20672341
2013-07-04 18:00;23.87;390.9;0.03102939;8.67;17.24511521
2013-07-04 20:00;23.94;481.1;3.13488971;8.65;16.95225774
2013-07-04 22:00;23.88;582.7;6.64193005;8.61;15.41761143
2013-07-05 00:00;23.79;538.1;5.117186184;8.53;12.48957656
2013-07-05 02:00;23.57;611.1;7.685417668;8.46;9.250351242
2013-07-05 04:00;23.32;645.1;8.927941725;8.44;7.420780827
2013-07-05 06:00;23.25;695.6;10.71579847;8.49;8.644186404
2013-07-05 08:00;23.38;655.4;9.273217235;8.53;10.52329914
2013-07-05 10:00;23.71;623.7;8.092464742;8.61;14.60802343
2013-07-05 12:00;24.06;590.7;6.883902859;8.58;15.33235389
2013-07-05 14:00;24.33;384.6;-0.183864595;8.57;16.28874094
2013-07-05 16:00;24.59;243.6;-4.949778456;8.55;16.87501921
2013-07-05 18:00;24.6;212.5;-5.999643828;8.59;18.17140089
2013-07-05 20:00;24.45;215.1;-5.935828459;8.55;16.22407736
2013-07-05 22:00;24.23;216.8;-5.913307405;8.46;12.38260047
2013-07-06 00:00;24.07;236.5;-5.263537824;8.48;12.25455181
2013-07-06 02:00;23.84;279;-3.830082979;8.41;8.977531829
2013-07-06 04:00;23.59;303.6;-3.001620048;8.42;8.096282044
2013-07-06 06:00;23.44;308.7;-2.836017952;8.4;6.750234164
2013-07-06 08:00;23.62;289.7;-3.48167182;8.48;10.11505811
2013-07-06 10:00;24.5;269.3;-4.090820885;8.53;15.83189973
2013-07-06 12:00;24.57;253.1;-4.631090859;8.51;15.5322103
2013-07-06 14:00;24.71;237.8;-5.129192341;8.5;15.8680992
2013-07-06 16:00;25.23;234.5;-5.167331344;8.49;17.93817875
2013-07-06 18:00;25.34;240.3;-4.959871112;8.45;17.18706282
2013-07-06 20:00;25.24;237;-5.082884944;8.44;16.42110508
2013-07-06 22:00;25.52;272.9;-3.861010625;8.39;16.12461491
2013-07-07 00:00;25.18;295;-3.161149132;8.36;13.64832679
2013-07-07 02:00;24.86;307.3;-2.775738184;8.34;11.55951989
2013-07-07 04:00;24.49;323.3;-2.261240108;8.23;6.41036581
